USA / CA;AU / IE / UK;DE / CH;FR;NL;SE;ES/MX;NO;DK;IT;FI
in;in;- ;en;in;i;de;i;i;in;-
Sterling Silver;Sterling Silver;925er Sterlingsilber;Argent 925;925 Zilver;925 Sterling Silver;Plata Esterlina;925 Sterlingsølv;925 Sterlingsølv;Argento Sterling;925 sterling-hopea
Matte Sterling Silver;Matte Sterling Silver;mattes 925er Sterlingsilber;Argent Mat 925;Mat 925 Zilver;Matt 925 Sterling Silver;Plata Esterlina Mate;Matt 925 Sterlingsølv;Mat 925 Sterlingsølv;Argento Sterling Opaco;matta 925 sterling-hopea
18K Gold Plating;18ct Gold Plating;750er vergoldetes Silber;Plaqué Or 18 carats;18k Verguld;18k Guldplätering;Chapado en Oro 18K;18k Gullbelagt Sterlingsølv;18kt. Forgyldt Sølv;Placcato in Oro 18k/ Placcata in Oro 18k/ Placcati in Oro 18k;18k kullattu sterling-hopea 925
18K Rose Gold Plating;18ct Rose Gold Plating;750er rosé vergoldetes Silber;Plaqué Or Rose 18 carats;18k Rosé Verguld;18k Roséguldplätering;Chapado en Oro Rosa 18K;18k Rosegullbelagt Sterlingsølv;18kt. Rosa Forgyldt Sølv;Placcato in Oro Rosa 18k/ Placcata in Oro Rosa 18k/ Placcati in Oro Rosa 18k;18k ruusukullattu sterling-hopea 925
18K Gold Vermeil;18ct Gold Vermeil;750er Gold-Vermeil;Vermeil 18 carats;18k Goud Vermeil;18k Guld Vermeil;Vermeil de Oro 18K;18k Gull Vermeil;18kt. Guld Vermeil;Oro Vermeil 18k;18k vermeil-kulta
18K Rose Gold Vermeil;18ct Rose Gold Vermeil;750er Roségold-Vermeil;Vermeil Rose 18 carats;18k Roségoud Vermeil;18k Roséguld Vermeil;Vermeil de Oro Rosa 18K;18k Rosegull Vermeil;18kt. Rosaguld Vermeil;Oro Rosa Vermeil 18k;18k vermeil-ruusukulta
10K Solid Gold;10ct Solid Gold;417er Gelbgold;Or Jaune 10 carats;10k Goud;10k Guld;Oro Sólido 10K;10k Gull;10kt. Guld;Oro Giallo 10k;10k keltakulta
10K White Gold;10ct White Gold;417er Weißgold;Or Blanc 10 carats;10k Witgoud;10k Vitguld;Oro Blanco 10K;10k Hvitt Gull;10kt. Hvidt Guld;Oro Bianco 10k;10k valkokulta
14K Solid Gold;14ct Solid Gold;585er Gelbgold;Or Jaune 14 carats;14k Goud;14k Guld;Oro Sólido 14K;14k Gull;14kt. Guld;Oro Giallo 14k;14k keltakulta
14K White Gold;14ct White Gold;585er Weißgold;Or Blanc 14 carats;14k Witgoud;14k Vitguld;Oro Blanco de 14K;14k Hvitt Gull;14kt. Hvidt Guld;Oro Bianco 14k;14k valkokulta
14K Rose Gold;14ct Rose Gold;585er Roségold;Or Rose 14 carats;14k Roségoud;14k Roséguld;Oro Rosa de 14K;14k Rosegull;14kt. Rosaguld;Oro Rosa 14k;14k ruusukulta
Stainless Steel ;Stainless Steel ;Edelstahl;Acier Inoxydable;Roestvrij Staal;Rostfritt Stål;Acero Inoxidable;Rustfritt Stål;Rustfrit Stål;Acciaio Inossidabile;ruostumaton teräs
18K Gold Plated Stainless Steel;18ct Gold Plated Stainless Steel;750er vergoldeter Edelstahl;Acier Inoxydable Plaqué Or 18 carats;18k Verguld Roestvrij Staal;18k Guldpläterat Rostfritt Stål;Acero Inoxidable Chapado en Oro 18K;18k Gullbelagt Rustfritt Stål;18kt. Forgyldt Rustfrit Stål;Acciaio Inossidabile Placcato in Oro 18k;18k kullattu ruostumaton teräs
18K Rose Gold Plated Stainless Steel;18ct Rose Gold Plated Stainless Steel;750er rosé vergoldeter Edelstahl;Acier Inoxydable Plaqué Or Rose 18 carats;18k Rosé Verguld Roestvrij Staal;18k Roséguldpläterat Rostfritt Stål;Acero Inoxidable Chapado en Oro Rosa 18K;18k Rosegullbelagt Rustfritt Stål;18kt. Rosa Forgyldt Rustfrit Stål;Acciaio Inossidabile Placcato in Oro Rosa 18k;18k ruusukullattu ruostumaton teräs
18K Gold Vermeil Stainless Steel;18ct Gold Vermeil Stainless Steel;750er Gold-Vermeil Edelstahl;Acier Inoxydable Vermeil 18 carats;18k Goud Vermeil Roestvrij Staal;18k Guld Vermeil Rostfritt Stål;Acero Inoxidable Vermeil de Oro 18K;18k Gull Vermeil Rustfritt Stål;18kt. Guld Vermeil Rustfrit Stål;Acciaio Inossidabile in Oro Vermeil 18k;18k vermeil-kullattua ruostumatonta terästä
Black Stainless Steel;Black Stainless Steel;schwarzer Edelstahl;Acier Inoxydable Noir;Zwart Roestvrij Staal;Svart Rostfritt Stål;Acero Inoxidable Negro;Svart Rustfritt Stål;Sort Rustfrit Stål;Acciaio Inossidabile Nero;musta ruostumaton teräs
Matte Stainless Steel;Matte Stainless Steel;matter Edelstahl;Acier Inoxydable Mat;Mat Roestvrij Staal;Matt Rostfritt Stål;Acero Inoxidable Mate;Matt Rustfritt Stål;Mat Rustfrit Stål;Acciaio Inossidabile Opaco;matta ruostumaton teräs
Gunmetal;Gunmetal;Graues Rhodium;Rhodium Gris;Donkergrijs Rhodium;Grått Rodium;Gris Oscuro (Gunmetal);Grå Rhodium;Grå Rhodium;Rodio Grigio;harmaa rodium
Mixed Metals;Mixed Metals;gemischte Materialien;Matériaux Mixtes;Gemixte Metalen;Blandad Metall;Metales Mezclados;Blandede Metaller;Blandede Metaller;Metalli Misti;sekametallit
Premium Silver;Premium Silver;Premium Silber;Argent Premium;Premie Zilver;Premium Silver;Plata Premium;Premium Sølv;Premium Sølv;Argento Premium;premium hopea
Oxidized Finish;Oxidized Finish;Oxidierte Ausführung;Finition Oxydée;Geoxideerde Afwerking;Oxiderad Finish;Acabado Oxidado;Oksidert Finish;Oxyderet Sølv;Finitura Ossidata;hapetettu viimeistely
Acrylic;Acrylic;Acryl;Acrylique;Acryl;Akryl;Acrílico;Akryl;Akryl;Acrilico;akryyli
Brass;Brass;Messing;Laiton;Messing;Mässing;Latón;Messing;Messing;Ottone;messinki
18K Gold Plated Brass;18ct Gold Plated Brass;750er vergoldetes Messing;Laiton Plaqué Or 18 carats;18k Verguld Messing;18k Guldpläterad Mässing;Latón Chapado en Oro 18K;18k Gullbelagt Messing;18kt. Forgyldt Messing;Ottone Placcato in Oro 18k;18k kullattu messinki
18K Rose Gold Plated Brass;18ct Rose Gold Plated Brass;750er rosé vergoldetes Messing;Laiton Plaqué Or Rose 18 carats;18k Rosé Verguld Messing;18k Roséguldpläterad Mässing;Latón Chapado en Oro Rosa 18K;18k Rosegullbelagt Messing;18kt. Rosa Forgyldt Messing;Ottone Placcato in Oro Rosa 18k;18k ruusukullattu messinki
18K Gold Vermeil Brass;18ct Gold Vermeil Brass;750er Gold-Vermeil Messing;Laiton Vermeil 18 carats;18k Goud Vermeil Messing;18k Guld Vermeil Mässing;Vermeil de Latón Chapado en Oro 18K;18k Gull Vermeil Messing;18kt. Guld Vermeil Messing;Ottone in Oro Vermeil 18k;18k vermeil-kullattua messinki
18K Rose Gold Vermeil Brass;18ct Rose Gold Vermeil Brass;750er Roségold-Vermeil Messing;Laiton Vermeil Rose 18 carats;18k Roségoud Vermeil Messing;18k Roséguld Vermeil Mässing;Vermeil de Latón Chapado en Oro Rosa 18K;18k Rosegull Vermeil Messing;18kt. Rosaguld Vermeil Messing;Ottone in Oro Rosa Vermeil 18k;18k vermeil-ruusukullattua messinki
Aluminium;Aluminium;Aluminium;Aluminium;Aluminium;Aluminium;Aluminio;Aluminium;Aluminium;Alluminio;alumiini
18K Gold Plated Aluminium;18ct Gold Plated Aluminium;750er vergoldetes Aluminium;Aluminium Plaqué Or 18 carats;18k Verguld Aluminium;18k Guldpläterad Aluminium;Aluminio Chapado en Oro 18K;18k Gullbelagt Aluminium;18kt. Forgyldt Aluminium;Alluminio Placcato in Oro 18k;18k kullattu messinki
18K Rose Gold Plated Aluminium ;18ct Rose Gold Plated Aluminium ;750er rosé vergoldetes Aluminium;Aluminium Plaqué Or Rose 18 carats;18k Rosé Verguld Aluminium;18k Roséguldpläterad Aluminium;Aluminio Chapado en Oro Rosa 18K;18k Rosegullbelagt Aluminium;18kt. Rosa Forgyldt Aluminium;Alluminio Placcato in Oro Rosa 18k;18k ruusukullattu messinki